,PCE,Molecule SMILE,SMILES
2567,3.3,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1cc(cc(n1)c1cc(cc(n1)c1cc2c(s1)c1c(C2(CCCCCC)CCCCCC)cc(s1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)C(=O)O)C(=O)O,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1cc(cc(n1)c1cc(cc(n1)c1cc2c(s1)c1c(C2(CCCCCC)CCCCCC)cc(s1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)C(=O)O)C(=O)O
2568,3.9,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc2c(c1)C(c1c2sc(c1)c1ccc(c(n1)c1ccc(c(n1)c1sc2c(c1)C(c1c2sc(c1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)(CCCCCC)CCCCCC)C(=O)O)C(=O)O)(CCCCCC)CCCCCC,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc2c(c1)C(c1c2sc(c1)c1ccc(c(n1)c1ccc(c(n1)c1sc2c(c1)C(c1c2sc(c1)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)(CCCCCC)CCCCCC)C(=O)O)C(=O)O)(CCCCCC)CCCCCC
2569,5.33,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N
2570,6.61,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(c(c1)c1cc(ccc1c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(c(c1)c1cc(ccc1c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N
2571,6.86,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1cc(c(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1cc(sc1c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1cc(c(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1cc(sc1c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC
2572,1.0,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC,CCCCCCOc1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC
2573,1.43,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC,CCCCCCN1c2ccc(cc2Sc2c1ccc(c2)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC
2574,3.56,CCCCCCOc1ccc(cc1)N(c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1c2cc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,CCCCCCOc1ccc(cc1)N(c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1c2cc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N
2575,3.34,CCCCCCOc1ccc(cc1)N(c1ccc2c(c1)n(CCCCCC)c1c2cc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N,CCCCCCOc1ccc(cc1)N(c1ccc2c(c1)n(CCCCCC)c1c2cc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N
2576,0.46,CCCCCCOc1ccc(cc1)C(c1cc(cc(c1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC,CCCCCCOc1ccc(cc1)C(c1cc(cc(c1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)/C=C(\\C(=O)O)/C#N)c1ccc(cc1)OCCCCCC)c1ccc(cc1)OCCCCCC
