model_id,family,impute_method,split,R2_train,MAE_train,R2_test,MAE_test
gnn_mean_split0,gnn,mean,0,0.7862562549130158,0.8709761188261234,0.5550121505054306,1.2760382859277681
gnn_mean_split1,gnn,mean,1,0.6961213774875714,1.0570288771166356,0.5616903681001002,1.3006413012164397
gnn_mean_split2,gnn,mean,2,0.7583831858317441,0.9393030437959851,0.42233409298128566,1.4324620431660207
gnn_mean_split3,gnn,mean,3,0.7286103612757309,0.9877884502287125,0.5255154117246428,1.351058242717803
gnn_mean_split4,gnn,mean,4,0.7703212381725272,0.9274882954056773,0.4730411428688307,1.3648081706397903
gnn_mean_split5,gnn,mean,5,0.7399715221500138,0.943779256674262,0.2777840546951621,1.7173985372301055
gnn_mean_split6,gnn,mean,6,0.6511174986530148,1.1568352279339913,0.44423922604658017,1.4810816143210874
gnn_mean_split7,gnn,mean,7,0.7663034504754785,0.9145341697290309,0.5682312882055909,1.2771622297827245
gnn_mean_split8,gnn,mean,8,0.7354515539178882,0.9995776158476616,0.46827622483525666,1.3046019123664268
gnn_mean_split9,gnn,mean,9,0.7531707036621468,0.9664090958746555,0.5188350695919156,1.3364164695923704
gnn_most_frequent_split0,gnn,most_frequent,0,0.692602307340104,1.0667580177699785,0.5605073688050662,1.2993210407236293
gnn_most_frequent_split1,gnn,most_frequent,1,0.6047064579061892,1.2071580844322398,0.5461113040043035,1.3414787800447028
gnn_most_frequent_split2,gnn,most_frequent,2,0.7256617634665782,1.0084809585207573,0.4318883481448198,1.4222606908639086
gnn_most_frequent_split3,gnn,most_frequent,3,0.7731759109443361,0.8994448693749109,0.02861870880490347,1.95572723639691
gnn_most_frequent_split4,gnn,most_frequent,4,0.6748117037653628,1.11410737607213,0.40844738599617647,1.478917980049895
gnn_most_frequent_split5,gnn,most_frequent,5,0.5991388779901925,1.2178396652642225,-0.10619245821941536,2.161001569258486
gnn_most_frequent_split6,gnn,most_frequent,6,0.7222919284242126,1.0097286962245127,0.5422398365905614,1.3022585819764343
gnn_most_frequent_split7,gnn,most_frequent,7,0.7175544212369411,1.0287189067784903,0.5237389658575762,1.3483753693425597
gnn_most_frequent_split8,gnn,most_frequent,8,0.7053120379714352,1.0560218668351946,0.46896594250961654,1.327313570834263
gnn_most_frequent_split9,gnn,most_frequent,9,0.7848895855417956,0.8932239884096032,0.5597297889964763,1.2753617952792173
gnn_KNN_imputation_split0,gnn,KNN_imputation,0,0.6367917232599203,1.1609990257328433,0.41208935722487094,1.5327547621339803
gnn_KNN_imputation_split1,gnn,KNN_imputation,1,0.6827524950719919,1.0729033688335856,0.5450391891938204,1.3110110291226094
gnn_KNN_imputation_split2,gnn,KNN_imputation,2,0.6279997367184735,1.1924049711378966,0.5035087262029659,1.4591313724674715
gnn_KNN_imputation_split3,gnn,KNN_imputation,3,0.5467497745413018,1.3253626078816745,0.3189613982705427,1.7528437296273205
gnn_KNN_imputation_split4,gnn,KNN_imputation,4,0.6355422143159413,1.210634600287463,0.28987069475129745,1.6078196420324737
gnn_KNN_imputation_split5,gnn,KNN_imputation,5,0.6473219589538735,1.1232570568027531,-0.2847463749088355,2.28316571688835
gnn_KNN_imputation_split6,gnn,KNN_imputation,6,0.6146001156555385,1.2226726643037424,0.4645765949167906,1.4747620191216624
gnn_KNN_imputation_split7,gnn,KNN_imputation,7,0.6047974022394348,1.2219771713195808,0.493400798934032,1.4485363205120483
gnn_KNN_imputation_split8,gnn,KNN_imputation,8,0.6535726665684962,1.161401727619298,0.47643651180775437,1.3230306697964824
gnn_KNN_imputation_split9,gnn,KNN_imputation,9,0.67727305925677,1.1165268380760915,0.5025810893215621,1.392133966185478
rf_mean_split0,rf,mean,0,0.8855007502313843,0.6416891278650613,0.5901958114654791,1.2802957593919626
rf_mean_split1,rf,mean,1,0.8832235933673092,0.6469125314621337,0.5988865606729468,1.2705351718807523
rf_mean_split2,rf,mean,2,0.8825876338375194,0.6453692298831446,0.5073797770962352,1.3383804922744855
rf_mean_split3,rf,mean,3,0.8837938360119775,0.6408768611254128,0.2098381435935751,1.8151705697142209
rf_mean_split4,rf,mean,4,0.8884376226877586,0.6388737736059434,0.5329985627883216,1.2880927732500036
rf_mean_split5,rf,mean,5,0.8820106329854422,0.639890800582513,-0.07842046196732233,2.0762503078479986
rf_mean_split6,rf,mean,6,0.8863639110284752,0.6400161889860427,0.4805648081907734,1.3891526085102266
rf_mean_split7,rf,mean,7,0.8845061485325976,0.6398796355980164,0.5258692649070895,1.346938420303659
rf_mean_split8,rf,mean,8,0.8876762351297419,0.6438358435934092,0.5202657185363249,1.2063549462182186
rf_mean_split9,rf,mean,9,0.8847081907840303,0.6459899797446057,0.5561523035842306,1.2629207959910957
rf_most_frequent_split0,rf,most_frequent,0,0.9423255233882991,0.441614714904981,0.5927100666349638,1.2722471349416817
rf_most_frequent_split1,rf,most_frequent,1,0.9395169283517223,0.44808390193657893,0.5878739355735196,1.2811336975411887
rf_most_frequent_split2,rf,most_frequent,2,0.9374691731826463,0.45438760407258416,0.5553809646204767,1.2866096405116318
